2025-11-10 20:17:41 Starting game...
2025-11-10 20:17:41 Spawned 10 enemies
2025-11-10 20:17:42 Auto fired at enemy
2025-11-10 20:17:42 Auto fired at enemy
2025-11-10 20:17:42 Auto fired at enemy
2025-11-10 20:17:42 Auto fired at enemy
2025-11-10 20:17:42 Auto fired at enemy
2025-11-10 20:17:42 Auto fired at enemy
2025-11-10 20:17:43 Auto fired at enemy
2025-11-10 20:17:43 Auto fired at enemy
2025-11-10 20:17:43 Auto fired at enemy
2025-11-10 20:17:43 Auto fired at enemy
2025-11-10 20:17:43 Auto fired at enemy
2025-11-10 20:17:43 Auto fired at enemy
2025-11-10 20:17:43 Auto fired at enemy
2025-11-10 20:17:44 Auto fired at enemy
2025-11-10 20:17:44 Auto fired at enemy
2025-11-10 20:17:44 Auto fired at enemy
2025-11-10 20:17:44 Auto fired at enemy
2025-11-10 20:17:44 Auto fired at enemy
2025-11-10 20:17:45 Auto fired at enemy
2025-11-10 20:17:45 Auto fired at enemy
2025-11-10 20:17:45 Auto fired at enemy
2025-11-10 20:17:45 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:46 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:47 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:48 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:49 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:50 Auto fired at enemy
2025-11-10 20:17:51 Auto fired at enemy
2025-11-10 20:17:51 Auto fired at enemy
2025-11-10 20:17:51 Auto fired at enemy
2025-11-10 20:17:51 Auto fired at enemy
2025-11-10 20:17:51 Auto fired at enemy
2025-11-10 20:17:51 Auto fired at enemy
2025-11-10 20:17:51 Auto fired at enemy
2025-11-10 20:17:53 New wave coming...
2025-11-10 20:17:53 Spawned 10 enemies
2025-11-10 20:17:53 Auto fired at enemy
2025-11-10 20:17:53 Auto fired at enemy
2025-11-10 20:17:53 Auto fired at enemy
2025-11-10 20:17:53 Auto fired at enemy
2025-11-10 20:17:53 Auto fired at enemy
2025-11-10 20:17:53 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:54 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:55 Auto fired at enemy
2025-11-10 20:17:56 Auto fired at enemy
2025-11-10 20:17:56 Auto fired at enemy
2025-11-10 20:17:56 Auto fired at enemy
2025-11-10 20:17:56 Auto fired at enemy
2025-11-10 20:17:56 Auto fired at enemy
2025-11-10 20:17:56 Auto fired at enemy
2025-11-10 20:17:56 Auto fired at enemy
